INDIC,TAMIL
வைத்தியர்,மருத்துவர்
உத்தியோகம்,பணி
பதட்டம்,அஞ்சல்
வருஷம்,ஆண்டு
சிட்சை,ஒறுத்தல்
சம்பந்தம்,பற்று
உத்தமம்,உண்மை
கிருபை,அருள்
தலம்,கோயில்
சித்தி,ஆக்கம்
பட்சம்,உருக்கம்
பஞ்சபூதங்கள்,ஐம்பூதம்
ஏகதேசம்,தோராயம்
கடகம்,வாள்
தேவஸ்தானம்,கடவுள் நிலையம்
ஆசீர்வாதம்,வாழ்த்து
விவகாரம்,வாய்பாடு
விவசாயம்,வேளாண்மை
திவ்வியம்,நேர்த்தி
சிரவணம்,கேள்வி
பரிமாணம்,அளவு
நிச்சயம்,உறுதி
விதம்,ஆறு
சாசுவதம்,வீடுபேறு
அநாதி,முன்
கதம்பம்,மணப்பொருட்கூட்டு
இலாபநஷ்டம்,ஊதியமும் பொருட்கேடும்
சர்ப்பம்,நாகம்/பாம்பு
நிபந்தனை,ஏற்பாடு
உரொக்கம்,கைப்பணம்
ஜலம்,தண்ணீர்
ஆவலாதி,புறங்கூற்று
அசாத்தியம்,முடிக்கக் கூடாதது
பங்கம்,குற்றம்
மிருது,நொய்மை
அநுமதி,ஒப்புதல்
ஜங்க்ஷன்,சந்திப்பு
ஆயுதம்,கருவி
அதிகாரி,முதல்வன்
அபிடேகம்,திருமுழுக்கு
ஆதரவு,நிலைக்களன்
மூர்க்கன்,அறிவிலான்
ஜல்லிக்கட்டு,மஞ்சு விரட்டு
சஞ்சலம்,அசைவு
அந்தஸ்து,ஒழுங்கு
சங்கை,ஐயம்
சாட்சி,சான்று
உபயோகம்,பயன்பாடு
பிரபந்தம்,நூல்
சாதனம்,பயிற்சி
நாநாவிதம்,பலவகை
சமாதானம்,இணக்கம்
அகிம்சை,வன்முறையின்மை
பகிஷ்கரிப்பு,புறக்கணிப்பு
நிக்கிரகம்,அழிக்கை
ரேகை,கோடு
ஜனநாயகம்,மக்களாட்சி
சுகந்தம்,நறுமணம்
கும்பகோணம்,குடந்தை
ஏகதேசம்,ஒருபால்
சௌக்கியம்,நலம்
உருசி,சுவை
லட்சம்,நூறாயிரம்
ஆஜர்,நேர் வருகை
சூதனம்,எச்சரிக்கை
வருக்கம்,ஒழுங்கு
நதி,யாறு
விரோதம்,பகை
பிரக்கினை,உணர்வு
பைத்தியம்,கோட்டி
அபாயகரம்,இடுக்கண்
இலிங்கம்,குறி
ஞானம்,கல்வி
பலஹீனம்,வலுக்குறைவு
கூஜா,தூக்கு
வெகுமானம்,பரிசு
ஜோதிடம்,நிமித்திகம்
புருஷன்,ஆண்
பிரேரேபித்தல்,முன்மொழிதல்
புஸ்தகம்,சுவடி நூல்
அக்கினிகாரியம்,எரியோம்பல்
பிட்சை,இரப்பு
யோக்கியம்,தகுதி
ஏகாங்கி,தனியன்
வகித்தல்,பொறுத்தல்
இரேகை,வரி
பிரதானம்,முதன்மை
ஆசை,விழைவு
கந்துகம்,குதிரை
சுத்தம்,துப்புரவு
சிசுருஷை,பணிவிடை
சூரியன்,கனலி
மதுகரம்,வண்டு
நைவேத்யம்,படையல்
காஷாயம்,காவி
உபத்திரவம்,இடர்
அகசுமாத்து,தற்செயல்
சிருட்டி,படைப்பு
பிரகிருதி,பகுதி
குன்மம்,வயிற்றுவலி
தியானித்தல்,நினைத்தல்
சிகிச்சை,மருத்தீடு
அவமானம்,மானக்கேடு
தீர்த்தம்,நன்னீர்
ஆஸ்தி,செல்வம்
சாதனம்,கருவி
துஷ்டன்,தீயவன்
சபை,அரங்கம்
சமூகம்,கூட்டம்
தினசரி,நாடோறும்
சிரேஷ்டம்,சிறப்பு
விச்சை,அறிவு
நிஷ்டூரம்,கொடுமை
பட்சி,புள்
குதூகலம்,பெருமகிழ்ச்சி
அதிருஷ்டம்,நல்லூழ்
வித்யாலயம்,கல்விக்கூடம்
மாதம்,திங்கள்
உலோபம்,ஈயாமை
மகத்துவம்,மேன்மை
இடங்கம்,உளி
சரம்,அம்பு
சிக்ஷை,ஒறுத்தல்
நிமித்தம்,பொருட்டு
ஆரணியம்,காடு
தியானித்தல்,வழிபடல்
விதந்து,அறுதாலி
நித்யம்,முடிவில்லாத
ஆஸ்தி,பொருள்
இலாகா,ஆட்சி
தவசு,தவம்
நித்யம்,நிலைத்த
தானம்,ஈகை
உலோபம்,கடும்பற்றுள்ளம்
பாஜகம்,உணவு
அநுமதி,விடை
அபேதம்,வேறன்மை
அநுமானம்,ஐயம்
புராணம்,பழைய வரலாறு
பிரீதி,உருக்கம்
ஆகாசம்,வான்
சத்திரம்,சாவடி
ஸங்கல்பம்,உறுதிமொழி
இதயம்,நெஞ்சம்
அப்பியாசம்,பழக்கம்
உபகரணம்,உதவிப் பொருள்
சன்மானம்,பரிசு
பஜார்,கடைவீதி
அக்கி,கொப்புளம்
சமர்த்தன்,திறமையாளன்
சிகிச்சை,மருத்துவமுறை
தேவன்,தலைவன்
விசாலம்,பெருக்கம்
ஆன்மா,உயிர்
சரீரம்,மெய்
ஔபாசனம்,எரியோம்பல்
பூமி,உலகு
அபூர்வம்,அரிது
சந்தர்ப்பம்,நேரம்
தேஜஸ்,ஒளி
அவசியம்,கட்டாயம்
ஆசனவாய்,எருவாய்
ஜனம்,நரல்
அநீதி,முறைகேடு
விரதம்,நோன்பு
விஜயம்,வருகை
அகஸ்மாத்து,தற்செயல்
பிரதிதினம்,நாடோறும்
போகம்,இன்பம்
அகிம்சை,மென்முறை
ஈசுரநிச்சயம்,கடவுளுண்மை
வர்க்கம்,ஒழுங்கு
உயிர்ப்பிராணி,உயிர்ப்பொருள்
திரிவேணி சங்கமம்,முக்கூடல்
அசரீரி,வானிழல்; உடலற்ற பொருள்;
இதாதீதம்,நன்மைதீமை
உல்லாசம்,மகிழ்ச்சி
சீரணம்,செரித்தல்
வேதனம்,கூலி
மார்க்கம்,வழி
அபிநயம்,கைமெய்காட்டல்
கபோதி,குருடன்
அஸ்திவாரம்,அடிப்படை
பீதாம்பரம்,பொற்பட்டாடை
தரா,வையகம்
புருடார்த்தம்,உறுதிப்பொருள்
புரோகிதன்,வேள்வி செய்வோன்
கட்சி,சார்பு
மதம்,கொள்கை
ஆரோக்கியம்,நலம்
சூட்சுமம்,நுட்பம்
அருணோதயம்,கதிரோன் வருகை
விசாலம்,அகலம்
பிரசங்கம்,பேச்சுரை
பந்தி,தொகுதி
பிராமணர்,பார்ப்பனர்
சபா,அரங்கம்
இரேகை,கையிறை
வர்ணம்,எழில்
தமாஷ்,நகைச்சுவை
பங்கஜம்,தாமரை
அநாதி,கடவுள்
வமிசம்,கால்வழி
அசந்தர்ப்பம்,காலந்தவறு
பாரம்,சுமை
குஷ்டம்,தொழுநோய்
விக்கிநம்,தீங்கு
பரிமிதம்,அளவுபட்டது
வைபவம்,நிகழ்ச்சி
விடம்,நஞ்சு
குரோதம்,சினம்
பங்கம்,பழுது
பயங்கரம்,கொடுமை
சங்கடம்,இடர்
பட்சம்,அன்பு
தினசரி,நாளேடு
உஷார்,விழிப்பு
அதிகாந்தம்,பேரழகு
பிரசங்கம்,விரிவுரை
உருத்திராக்கம்,சிவமணி
அரம்பை,வான்மகள்
ஈசானம்,வடகீழ்ப்பால்
நந்தர்,இடையர்
தேகம்,உடல்
நிரோதம்,கட்டுப்பாடு
கீதம்,பாடல்
போதை,வெறி
அம்பிகை,அம்மை
பிரமாணம்,அளவை
சமஸ்கிருதம்,வடமொழி
அநர்த்தம்,கேடு
சூலம்,வேல்
நிமிஷம்,நொடி
சிம்மம்,சிங்கம்
பக்ஷணம் / பட்சணம்,உணவு/பலகாரம்
உரோமம்,குஞ்சி
சேஷ்டை,குறும்பு
இரதம்,தேர்
சத்திரம்,ஊட்டுப்புரை
சிகரம்,உச்சி
நிபந்தனை,உறுதி
தமாஷ்,விளையாட்டு
நிருமூலம்,அடியற்றது
கோஷம்,குரல்
சிநேகிதம்,கேண்மை
தம்பம்,தூண்
கிரியை,வினை
சமாதி,இறப்பு
தாம்பரபரணி,பொருநை
வாகனம்,ஊர்தி
ஏகதேசம்,ஒருபுடை
பஞ்சமம்,ஐந்து
ஆலோசனை,எண்ணம்
இலாபம்,மிச்சம்
நவநீதம்,வெண்ணெய்
விசாரணை,கேள்வி
தனம்,கொங்கை
குதூகலம்,பெருங்களிப்பு
கரகோஷம்,கை தட்டுதல்
தாசன்,அடியான்
ஸ்திரம்,உறுதி
கலசம்,கலயம்
கிருமி,புழு
அநியாயம்,விலக்கு
வாதித்தல்,வழக்கிடுதல்
தாவரம்,செடி
நிசப்தம்,அமைதி
அபாண்டம்,பெரும்பழி
உபவாசம்,உண்ணா நோன்பு
சகடு,வண்டி
அநிருதம்,பொய்
பரஸ்பரம்,இருவழி
போநகம்,உணவு
காஷ்டம்,விறகு
அபிப்பிராயம்,உள்ளப்போக்கு
இலாபநஷ்டம்,கூடுதல் குறைதல்
இருது,மகளிர் முதற் பூப்பு
அநுபோகம்,ஆட்சி
கடினம்,கடுமை
அசரீரி,உருவற்றது
பாதம்,கால்
அர்த்தநாரீசுரன்,மாதிருக்கும் பாதியன்
கர்க்கடகம்,நண்டு
அக்கிராசனம்,முதலிருக்கை
மோகம்,விருப்பம்
சூதனம்,காத்தல்
போநகம்,சோறு
கார்யம்,பணி
பிரஸாதம்,திருவமுது
ஹர்த்தால்,கடையடைப்பு
சரணாகதி,அடைக்கலம் புகுதல்
சொப்பனம்,கனவு
மித்துரு,நட்பு
சுரஸம்,முறித்த சாறு
அந்தம்,முடிவு
பிங்கலை,வலதுமூச்சு
சிகை,கூந்தல்
சயநம்,உறக்கம்
ருது,பருவம்
பிரமை,அறியாமை
சிலாக்கியம்,மேன்மை
சேத்திரம்,திருப்பதி
அநுகூலம்,பயன்
இதயம்,உள்ளம்
தினம்,ஞான்று
பந்தம்,உறவு
தாகம்,விடாய்
ஆகாசம்,விசும்பு
சமாதி,பிணக்குழி
விடயம்,சேதி
ஆசை,பற்று
ஜொள்ளு,எச்சில்
கர்த்தா,நூலாசிரியன்
பிரபஞ்சம்,உலகம்
போசனம்,உணவு
அசமந்தம்,சோம்பல்
அஸ்தம்,கை
மோட்சம்,துறக்கம்
விகடன்,வேடிக்கை
விதி,ஊழ்
சகலம்,எல்லாம்
நிருவாகம்,பொருப்பு
தராசு,நிறைகோல்
அஜீரணம்,செரிப்பின்மை
பூஜ்யம்,சுழியம்
பத்தியம்,செய்யுள்
சிலேட்டுமம்,சளி
திராசு,துலாக்கோல்
நியதி,ஊழ்
இரத்தம்,செந்நீர்
சரணாரவிந்தம்,திருவடித்தாமரை
சாசுவதம்,உறுதி
விதேயன்,பணிவுள்ளவன்
பரோபகாரம்,கைம்மாறு கருதா உதவி
உபத்திரவம்,இடையூறு
நிதானம்,மதிப்பு
அசல்,முதல்
சுகாதாரம்,நலவழி
ஆக்ஞேயம்,புருவநடு
தயை,அன்பு
மிலேச்சன்,வேடன்
சித்திரம்,ஓவியம்
கம்பீரம்,பெருமை
தூரம்,எட்டாக் கை
திரம்,உறுதி
பாசம்,அன்பு
பிரவேசம்,முயற்சி
தானியம்,கூலம்
மாதா,தாய்
உதாரகுணம்,வள்ளன்மை
உபந்நியாசம்,சொற்பொழிவு
உபாதி,நோய்
சகாயம்,நன்மை
புத்திரி,மகள்
சர்வதேச,அனைத்துலக
ரௌத்திரம்,சினம்
உதயம்,பிறப்பு
தேகாப்பியாசம்,உடற்பயிற்சி
போசனம்,உண்டி
மகா,மிகுதி
ஏது,காரணம்
ஆசமனம்,குடித்தல்
தாமம்,கயிறு
தேவஸ்தானம்,திருக்கோயில்
சுயம்,தன்வயம்
அகாதன்,புரட்டன்
கனம்,சுமை
பிரதிநிதி,ஆணையாளர்
சாயை,நிழல்
விவாகம்,மன்றல்
போசனம்,ஊண்
ரணம்,புண்
தஸ்தாவேஜ்,ஆவணம்
அபானவாயு,மலக்காற்று
ஆயுசு,வாழ்நாள்
நிமித்தம்,குறி
குரூரம்,கொடுமை
புருஷன்,கணவன்
வராகம்,பன்றி
வாபஸ்,திரும்பப் பெறு
நடராஜர்,ஆடல்வல்லான்
யௌவநம்,அழகு
சிநேகிதி,தோழி
கஷ்டம்,துன்பம்
அற்பம்,அணு
நிருணயம்,உறுதி
அம்சம்,காலம்
பிசாசு,பேய்
பிரவேசம்,நுழைவு
நிபுணர்,தேர்ந்தவர்
நிரூபணம்,உறுதிப்பாடு
அதிட்டம்,நல்வினைப் பயன்
சதம்,நூறு
